CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1,Ativo Total,12656646.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01,Ativo Circulante,3346614.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.01,Caixa e Equivalentes de Caixa,1204593.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.01.01,Caixa e Bancos,248730.0000000000,N,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.01.02,Aplicações Financeiras,955863.0000000000,N,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02,Aplicações Financeiras,1472847.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,1472847.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02.01.01,Títulos para Negociação,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02.01.02,Títulos Designados a Valor Justo,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.03,Contas a Receber,310236.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2023-06-30,1.01.03.01,Clientes,310236.0000000000,S,07594978000178,2023-06-30,1
